Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28,Test 29,Test 30,Test 31,Test 32,Test 33,Test 34,Test 35,Test 36,Test 37,Test 38,Test 39,Test 40,Test 41,Test 42,Test 43,Test 44,Test 45,Test 46,Test 47,Test 48,Test 49,Test 50
93677.51200000003,82750.42341666666,74001.63966666666,89529.28799999994,74459.66966666658,106492.17656249987,79028.63354166666,115218.58750000001,86787.22066666669,95045.97966666662,126496.97224999999,85489.03999999998,92381.72799999999,86725.8216666667,95179.97633333332,114843.93500000003,81425.288,79296.93991666666,90232.33760416669,86436.64029166664,82298.81475000006,99731.06841666672,88160.42399999997,82399.00304166667,87553.64754166665,89247.19199999994,109116.93108333331,103888.931,105975.96791666672,86764.44166666668,90608.69822916671,99028.06874999999,86282.39766666664,73654.78591666663,117599.37968750003,83799.09791666661,80790.55199999998,78569.83199999997,85793.46399999998,85681.84335416666,81818.82579166668,74544.87710416668,74608.2565,73928.53210416665,75919.9482916667,89307.38341666668,80858.72533333323,86591.03460416668,94275.16666666654,90802.60450000003
93677.51200000003,82750.42341666666,74001.63966666666,89529.28799999994,74459.66966666658,82581.46518666671,79028.63354166666,90355.17576166669,74575.9166666667,74509.4392666667,94472.66666666654,85489.03999999998,92381.72799999999,82803.35366666663,82098.7834766667,106749.53054166671,80867.83041666665,79296.93991666666,81748.65546666665,78697.325,75015.98410666664,78192.10259000002,88160.42399999997,76394.33942166663,78725.10597916669,87493.25335416665,87565.11518416666,72383.97702416663,74252.74454166665,80514.79090666666,78798.77725333333,80569.57916666665,79663.39666666665,73654.78591666663,87867.46374500002,83799.09791666661,80790.55199999998,78569.83199999997,77500.37171,70923.83333333334,78647.17916666668,74544.87710416668,74608.2565,68936.12244416666,75919.9482916667,86019.31666666668,78115.01791666666,86591.03460416668,83237.44216666667,90802.60450000003
90413.58750000001,77674.93554166665,70281.60716666662,78497.91510416663,74459.66966666658,73078.4166666667,78470.87541666666,87925.11140833338,73524.86595499994,74509.4392666667,94472.66666666654,71192.32416666667,90942.46827999999,78525.39200000005,82098.7834766667,97514.37916666667,71649.45454166671,71184.30589000002,77355.50002916662,78378.84490666671,74438.97141666667,72939.60079666667,85932.64704666671,72524.55454166666,77577.84034000004,76319.24018666668,74839.77918666665,72383.97702416663,72556.70796,78462.8482916667,73631.74791666667,80569.57916666665,71763.69963999996,73654.78591666663,77473.4101666667,77790.28137749997,77434.14414500001,75418.82635416667,73092.49166666661,70330.26997916667,73785.13485416665,74544.87710416668,74608.2565,68936.12244416666,75919.9482916667,75479.2690866667,75249.66894000005,75598.83125000002,83237.44216666667,76274.08124999999
76073.98645333337,76923.3578216667,70281.60716666662,76325.41666666669,74459.66966666658,73078.4166666667,77282.7848175,84345.81866666664,73524.86595499994,74509.4392666667,94472.66666666654,71192.32416666667,90942.46827999999,76915.88458666665,78126.98691666668,77225.83125,71649.45454166671,68018.91666666677,77355.50002916662,74943.73036166665,73836.2120416667,72939.60079666667,78115.353495,72524.55454166666,76993.99442000002,76319.24018666668,74839.77918666665,72383.97702416663,72556.70796,75749.86365166664,73631.74791666667,70888.46666666669,71763.69963999996,73654.78591666663,77473.4101666667,73285.41666666672,76084.6394166667,73212.75141666668,73092.49166666661,70330.26997916667,72555.06991666667,71428.75582666672,72279.24851500003,68936.12244416666,70469.00904166668,75479.2690866667,72948.37636666668,75598.83125000002,70949.10029166663,75101.63566500005
74306.63204166671,75696.72372916665,70281.60716666662,71849.5490166667,72146.35403000002,72976.39559666665,75647.73712666663,79773.34454166674,73524.86595499994,74227.65222000005,90555.94694000007,71192.32416666667,83149.13370499999,72532.52491666666,74248.27953666663,77225.83125,71649.45454166671,68018.91666666677,75998.69290666666,74943.73036166665,73135.04254166664,65364.99026666667,74602.71946666669,70238.49704166665,74987.9756666666,73718.79154666663,72489.09544166664,70900.55666666667,72556.70796,72219.19652999991,73449.68291666663,70888.46666666669,71763.69963999996,73654.78591666663,77473.4101666667,73191.21197749997,75014.46641666672,73212.75141666668,73092.49166666661,70330.26997916667,69987.37416666666,69447.36649999996,71000.65784500001,68936.12244416666,70469.00904166668,75190.99791666666,66215.73531166665,75598.83125000002,70949.10029166663,72257.26666666665
72388.85916250004,71746.02004166665,70281.60716666662,71849.5490166667,72146.35403000002,72976.39559666665,75444.98835416666,73752.98065666667,73270.29610666668,71271.78434666668,90555.94694000007,71192.32416666667,82123.57566666666,72532.52491666666,73064.87822583337,75907.48125,70696.7245566667,62165.33179166673,74551.75872916666,74884.15127333335,73135.04254166664,65364.99026666667,72037.85554166666,70238.49704166665,72123.93650666662,72577.83364000001,72489.09544166664,67634.69106749998,72556.70796,72219.19652999991,73449.68291666663,70888.46666666669,71763.69963999996,72178.0505866666,77473.4101666667,73152.11184000003,73265.77083333334,71797.27629166664,73092.49166666661,66966.68147916665,69987.37416666666,69447.36649999996,68604.88922916669,68936.12244416666,70469.00904166668,72159.34449999999,66215.73531166665,71993.48748666665,70949.10029166663,72257.26666666665
72388.85916250004,71746.02004166665,70281.60716666662,71849.5490166667,68971.93466750001,72764.83354666663,72253.75897916664,73752.98065666667,66751.19573333337,68110.71409833331,87191.2501066666,71192.32416666667,80078.62352666665,72532.52491666666,73064.87822583337,73736.74791666665,70696.7245566667,62165.33179166673,68531.16249999999,73408.50779166663,73135.04254166664,65364.99026666667,72037.85554166666,67323.16666666679,71859.72804166669,71858.92745999998,72362.24841666668,67634.69106749998,70525.44465333335,72219.19652999991,73449.68291666663,70888.46666666669,71763.69963999996,72178.0505866666,77262.33179166669,71670.24697916664,71436.82317500001,68883.7576666667,72090.68229166669,66966.68147916665,69987.37416666666,69447.36649999996,68604.88922916669,68936.12244416666,70469.00904166668,68761.61329166668,66215.73531166665,71211.55913249998,70949.10029166663,72257.26666666665
71630.51122916667,71746.02004166665,69366.6751666667,71849.5490166667,68971.93466750001,71720.75108916665,70536.35603999997,73752.98065666667,66751.19573333337,68110.71409833331,87191.2501066666,71192.32416666667,78996.34116666667,72532.52491666666,73064.87822583337,71859.13850833336,70297.5229166667,62165.33179166673,68531.16249999999,73127.77207666662,68727.1243541667,65364.99026666667,71868.40566666664,67323.16666666679,71859.72804166669,71858.92745999998,72362.24841666668,67634.69106749998,70119.19577666667,71749.8186666667,68521.29347916668,70888.46666666669,69761.03616666669,72178.0505866666,77262.33179166669,71670.24697916664,71436.82317500001,68883.7576666667,70622.57647916672,66065.66666666679,69647.02216666669,69447.36649999996,68604.88922916669,66580.771275,70469.00904166668,68761.61329166668,66215.73531166665,71211.55913249998,70949.10029166663,72257.26666666665
71630.51122916667,71746.02004166665,69366.6751666667,70996.23426250005,68971.93466750001,68752.46491666665,69929.39723999996,73467.04754166664,66751.19573333337,68110.71409833331,86483.00729666668,66970.52977499996,77707.85079166669,69762.31497333331,73064.87822583337,69299.77225666669,70297.5229166667,62165.33179166673,68531.16249999999,71143.28172916667,68727.1243541667,65364.99026666667,68238.42891666669,67323.16666666679,71859.72804166669,71858.92745999998,71476.55688666661,67634.69106749998,68538.94741666663,67249.6927066667,68521.29347916668,70888.46666666669,69761.03616666669,69484.26682666664,73381.71239999997,71670.24697916664,71436.82317500001,67309.29482000001,69802.57766666668,66065.66666666679,69647.02216666669,68910.06263666665,68604.88922916669,66580.771275,70469.00904166668,68761.61329166668,66215.73531166665,69872.02060416665,70583.34491999999,72051.83830666667
71630.51122916667,71282.14025999997,68716.98690666666,70996.23426250005,68627.88458666667,68752.46491666665,66467.88672916667,71694.82066666668,66751.19573333337,68110.71409833331,76839.64166666674,66970.52977499996,77041.60554166666,69762.31497333331,73064.87822583337,68845.99465416667,69846.43566000002,65920.9166666668,68531.16249999999,71143.28172916667,68342.58316666668,70981.63006000002,68238.42891666669,67323.16666666679,71120.39346666669,70443.78471916671,71476.55688666661,67634.69106749998,68538.94741666663,67249.6927066667,68521.29347916668,67694.44366000002,69761.03616666669,69484.26682666664,72685.12922666669,69379.12234666667,67975.33725999997,67309.29482000001,69802.57766666668,66065.66666666679,69647.02216666669,68910.06263666665,68604.88922916669,66133.88461916667,67812.77598666667,68761.61329166668,68079.47807416666,69872.02060416665,70583.34491999999,68189.78667000003
