Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28,Test 29,Test 30,Test 31,Test 32,Test 33,Test 34,Test 35,Test 36,Test 37,Test 38,Test 39,Test 40,Test 41,Test 42,Test 43,Test 44,Test 45,Test 46,Test 47,Test 48,Test 49,Test 50
95333.42966666665,93058.13304166669,79820.79666666669,86811.69929166663,82514.91666666663,90650.96,79289.83999999998,91733.10366666663,82427.77304166667,89519.47670833327,91956.94710416668,85348.34999999998,83904.62916666667,77057.49850000005,89396.82866666668,85072.60150000006,82794.71716666668,91122.75156249997,84516.66666666661,82447.06285416665,75219.4151666666,76272.16666666667,86376.53333333335,82999.71775000003,78435.06916666667,75031.45549999998,92877.85366666668,96936.8364583333,97080.23975000001,92193.68916666662,83378.91666666664,81389.32558333338,98569.90325000008,83090.15593749995,75490.03733333333,98060.69066666669,83143.365625,67163.7435,83743.16666666663,88438.79966666667,76582.77779166661,75917.41600000006,97290.24372916663,71365.02825000003,98952.4044999999,100469.07866666667,89772.39233333334,96769.18400000001,107396.06816666666,90410.43541666669
76621.56394666668,64996.65048000002,79820.79666666669,86811.69929166663,82514.91666666663,77576.32800000004,79289.83999999998,75583.7887816666,75321.72038249999,89519.47670833327,77961.94110416665,85348.34999999998,77543.83672916665,77057.49850000005,76461.89791500004,79823.31986666661,77649.54400000001,81200.95042666666,83538.49610416665,82447.06285416665,71359.02893000003,76272.16666666667,78103.13313500003,71725.34729166665,78435.06916666667,75031.45549999998,73945.6666666667,77450.23686000005,89502.33946166666,86755.05607333336,82072.51792000006,75473.05404166663,79610.16566666662,81673.50542166669,73697.95237666664,79714.37604166668,82305.50429166667,67163.7435,74233.44441666668,88438.79966666667,76582.77779166661,74242.42172000004,75328.02747166666,71365.02825000003,88981.48755249998,79052.08516666669,80915.45054166667,82325.72379166669,91318.7269466667,75918.62808
73475.05604166668,64996.65048000002,73562.02249999999,84958.34073666667,73710.76624000001,74817.96641666668,79289.83999999998,75583.7887816666,70588.30322833335,78937.91629166668,77758.23227416666,75227.736,77543.83672916665,77057.49850000005,74955.7697466667,74718.33928666668,77643.50992500008,74933.226,76299.84941666668,76736.86664000004,71359.02893000003,75180.53097166664,78103.13313500003,71725.34729166665,70559.18866666664,70987.46260500001,71572.66666666673,77450.23686000005,79745.83986666665,72797.88241166664,79576.82535416668,75473.05404166663,70565.80435416664,78524.40922916666,71845.32694000003,78434.21750666665,71317.47729166666,67163.7435,72179.63832666667,75113.64818000005,76582.77779166661,74242.42172000004,75328.02747166666,71365.02825000003,74798.17156,73546.46486166665,79888.29514666661,77033.76191666666,76146.34755166665,73307.35484000001
71239.67629166666,64996.65048000002,67017.51878000007,73940.8484375,70857.50724999998,74817.96641666668,75689.62235416665,69020.43479166663,70588.30322833335,73899.16606666669,68519.71152166666,74778.85974666665,77543.83672916665,70020.64213666666,67900.13666666666,72016.8672916667,71625.84536999995,73434.16666666672,68671.92506666663,72685.42216666666,71192.93562833327,74926.33182666663,76011.54104166669,71725.34729166665,70559.18866666664,68910.01767999996,71572.66666666673,74040.75450666666,73915.92859,72797.88241166664,72068.55900000001,74480.66179166667,70565.80435416664,75887.60490666667,71845.32694000003,69962.7654791667,71317.47729166666,67163.7435,72179.63832666667,75113.64818000005,70474.15074000001,70675.23776250001,75328.02747166666,71365.02825000003,74798.17156,73546.46486166665,72117.39468000004,77033.76191666666,76146.34755166665,73307.35484000001
71239.67629166666,64996.65048000002,67017.51878000007,70126.18520833335,69488.26822999999,72041.58507666666,74939.7625466667,69020.43479166663,68078.79223166674,72059.07841666666,68519.71152166666,74778.85974666665,74603.0040966667,70020.64213666666,67900.13666666666,69112.93441666669,71625.84536999995,72028.85904166667,68671.92506666663,72685.42216666666,69708.10566666666,67546.4593483333,74669.98426666664,71035.94452666664,70559.18866666664,68910.01767999996,71572.66666666673,70943.05764333335,73915.92859,71461.47525333334,72068.55900000001,72663.82394666664,70565.80435416664,75746.39691666671,68850.45599999999,69962.7654791667,71317.47729166666,67163.7435,72179.63832666667,73400.49796749999,70474.15074000001,70675.23776250001,69926.16080666668,71365.02825000003,70635.41666666674,65168.50075000001,70662.8341666667,74543.46129166668,76146.34755166665,73307.35484000001
70848.47341666666,64996.65048000002,67017.51878000007,70126.18520833335,68798.38879166669,72041.58507666666,73418.65886833335,69020.43479166663,68078.79223166674,72059.07841666666,68519.71152166666,69260.23566666665,73323.57916666665,70020.64213666666,67668.30377166666,69112.93441666669,70083.99477500004,72028.85904166667,68671.92506666663,72685.42216666666,69670.95022916667,67546.4593483333,73530.10279166664,71000.61066666665,70559.18866666664,68910.01767999996,71572.66666666673,70943.05764333335,72915.56485416667,71461.47525333334,72068.55900000001,69389.99490666662,70565.80435416664,74446.0390625,68850.45599999999,69962.7654791667,70690.79791666666,67163.7435,71201.90697916664,72407.89374999996,69936.24679166668,70675.23776250001,69086.26417416669,70287.16666666674,70635.41666666674,65168.50075000001,70662.8341666667,73358.17254166669,69966.66666666674,73307.35484000001
70101.5410416667,64996.65048000002,67017.51878000007,70126.18520833335,68798.38879166669,70912.79017000001,71668.41916666667,69020.43479166663,68078.79223166674,72059.07841666666,68519.71152166666,69260.23566666665,73127.78650666669,70020.64213666666,67668.30377166666,69112.93441666669,70083.99477500004,68441.31654166667,68671.92506666663,69952.362005,69670.95022916667,67546.4593483333,73530.10279166664,67435.5716133333,70559.18866666664,67218.72936000003,71094.00866666668,69518.51734666662,72332.04429333333,70651.23866666669,69527.2392,69389.99490666662,70565.80435416664,69608.45549666662,68850.45599999999,68864.35979166668,70591.11391666668,67163.7435,68297.99706666668,68875.58124999994,69936.24679166668,70675.23776250001,68968.62826666662,70287.16666666674,70635.41666666674,65168.50075000001,70662.8341666667,70804.18472916665,69609.41666666676,71212.50014666664
70101.5410416667,64996.65048000002,67017.51878000007,69608.50982666668,65809.10903416669,68008.34429166667,70384.8297525,68128.5787866667,66267.06822166668,69711.30972916668,68519.71152166666,69260.23566666665,70421.90739916665,69438.81841999995,67668.30377166666,69112.93441666669,69901.61041666669,68441.31654166667,68671.92506666663,69952.362005,68034.81816666671,67021.29916666665,71701.62591666669,67435.5716133333,70665.66666666673,67218.72936000003,70630.26286666664,69518.51734666662,70471.12079166665,68044.56397916666,69527.2392,69389.99490666662,70565.80435416664,68169.32597666667,68850.45599999999,66716.55341666666,68399.84154166671,67163.7435,68297.99706666668,68875.58124999994,69115.87697916667,67501.25404166669,68968.62826666662,69542.8882916667,69634.50065999999,65168.50075000001,70662.8341666667,70419.03247916668,69603.29966749997,71212.50014666664
70101.5410416667,64996.65048000002,70628.75720666665,69608.50982666668,65809.10903416669,68008.34429166667,65411.996426666665,68128.5787866667,66267.06822166668,69711.30972916668,68519.71152166666,69260.23566666665,70421.15345666667,69438.81841999995,67668.30377166666,69112.93441666669,69901.61041666669,68441.31654166667,68849.80810666666,69952.362005,68034.81816666671,67021.29916666665,68465.27654166668,67435.5716133333,70665.66666666673,67218.72936000003,69137.31651416665,69518.51734666662,67753.03666666665,68044.56397916666,67087.91666666679,69389.99490666662,70595.26466666668,68169.32597666667,67419.16498666667,66716.55341666666,68399.84154166671,68500.08579166667,67770.75216666664,68875.58124999994,66722.18688000001,67501.25404166669,68968.62826666662,69542.8882916667,69634.50065999999,67035.88205333333,67946.43827833331,67697.59491666668,69603.29966749997,71212.50014666664
69785.58282666662,64996.65048000002,67422.02242916665,67942.90766666665,65809.10903416669,68008.34429166667,65411.996426666665,68128.5787866667,66267.06822166668,69711.30972916668,69278.72864,68207.74887750005,69351.02900000002,69438.81841999995,67668.30377166666,70661.40454166665,69901.61041666669,68441.31654166667,68849.80810666666,69952.362005,67336.92341666666,64419.36590666666,68465.27654166668,66206.18666666668,68477.28276000005,67218.72936000003,69137.31651416665,69518.51734666662,63728.993846666686,68044.56397916666,67087.91666666679,69281.2167891667,70595.26466666668,68169.32597666667,67419.16498666667,66716.55341666666,68399.84154166671,68500.08579166667,67770.75216666664,68875.58124999994,66722.18688000001,67501.25404166669,68968.62826666662,69542.8882916667,68849.95450666668,67035.88205333333,67946.43827833331,67697.59491666668,69603.29966749997,67515.86029166664
