Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28,Test 29,Test 30
65208.076294166676,68050.56497916667,67563.78122666662,67591.136455,67977.77466666668,66397.96444000003,66435.67411,64615.08585499998,67086.24699999999,68489.73302000003,67821.70054166668,67112.20301,67468.42474666664,67262.91666666679,68797.49607,68454.58254166668,68759.19641666669,68133.2991666667,66140.55416666667,67291.66429166668,67014.83333333336,70420.49679166664,66899.85359999996,66354.47780416666,68866.94640666667,67498.46941333331,67503.46666666666,61134.916666666795,66851.5514166667,69073.77341666669
65208.076294166676,68050.56497916667,65349.41666666681,67591.136455,67977.77466666668,66397.96444000003,66435.67411,64615.08585499998,67086.24699999999,68489.73302000003,67821.70054166668,67112.20301,67468.42474666664,67262.91666666679,68797.49607,68454.58254166668,68667.31383333333,68133.2991666667,66140.55416666667,67291.66429166668,67014.83333333336,70420.49679166664,66899.85359999996,66354.47780416666,68866.94640666667,67498.46941333331,67503.46666666666,61134.916666666795,66851.5514166667,69073.77341666669
65208.076294166676,68050.56497916667,65349.41666666681,67591.136455,67977.77466666668,66397.96444000003,66435.67411,63984.175906666715,67086.24699999999,68489.73302000003,67821.70054166668,67112.20301,67468.42474666664,67262.91666666679,68797.49607,67590.49478666663,67143.04362166669,68133.2991666667,66140.55416666667,67291.66429166668,67014.83333333336,69777.97827999997,66899.85359999996,66354.47780416666,68866.94640666667,67498.46941333331,67503.46666666666,61134.916666666795,66851.5514166667,69073.77341666669
65208.076294166676,68050.56497916667,65349.41666666681,67591.136455,67977.77466666668,65922.85113166671,65266.99005166665,63984.175906666715,67086.24699999999,65887.79257666664,67821.70054166668,67112.20301,67468.42474666664,67262.91666666679,68797.49607,67590.49478666663,67143.04362166669,68133.2991666667,66140.55416666667,67291.66429166668,67014.83333333336,69777.97827999997,66899.85359999996,66354.47780416666,68866.94640666667,67265.91666666679,67503.46666666666,61134.916666666795,66851.5514166667,67774.8620416667
65208.076294166676,67238.53391916666,65349.41666666681,67591.136455,66006.8356175,65922.85113166671,65266.99005166665,63984.175906666715,67086.24699999999,65887.79257666664,67821.70054166668,67112.20301,67468.42474666664,67262.91666666679,68673.04202666665,67590.49478666663,67143.04362166669,68133.2991666667,66140.55416666667,67291.66429166668,67014.83333333336,69777.97827999997,66899.85359999996,66354.47780416666,67920.84775666663,67265.91666666679,67503.46666666666,61134.916666666795,66851.5514166667,67774.8620416667
65208.076294166676,67238.53391916666,65349.41666666681,65389.07536666669,66006.8356175,65922.85113166671,65266.99005166665,63984.175906666715,67086.24699999999,65887.79257666664,67821.70054166668,67112.20301,67468.42474666664,67262.91666666679,68673.04202666665,67590.49478666663,67143.04362166669,68133.2991666667,66140.55416666667,67291.66429166668,65996.58082666669,69715.61641666667,66360.81791666667,66354.47780416666,67920.84775666663,67265.91666666679,67503.46666666666,61134.916666666795,66851.5514166667,67774.8620416667
65208.076294166676,65967.79116666668,65349.41666666681,65389.07536666669,64614.50416000001,65922.85113166671,65266.99005166665,63984.175906666715,67086.24699999999,65887.79257666664,67821.70054166668,66801.461055,67468.42474666664,67262.91666666679,68673.04202666665,67590.49478666663,67143.04362166669,66999.94614,66140.55416666667,67291.66429166668,65996.58082666669,69715.61641666667,66360.81791666667,66354.47780416666,67920.84775666663,67265.91666666679,66299.35605000002,61134.916666666795,66146.35023666667,67774.8620416667
65208.076294166676,65967.79116666668,65349.41666666681,65389.07536666669,64614.50416000001,65922.85113166671,65266.99005166665,63984.175906666715,67086.24699999999,65887.79257666664,67821.70054166668,66801.461055,67468.42474666664,64540.66666666681,68372.35516666668,67590.49478666663,67143.04362166669,66999.94614,65654.51774999997,67291.66429166668,65122.881559999994,69715.61641666667,66360.81791666667,66354.47780416666,67920.84775666663,67265.91666666679,64543.590500000006,61134.916666666795,66146.35023666667,67586.66666666677
65208.076294166676,65967.79116666668,65237.02082666672,65389.07536666669,64614.50416000001,65922.85113166671,65266.99005166665,63984.175906666715,67086.24699999999,65887.79257666664,67821.70054166668,66801.461055,67468.42474666664,64540.66666666681,68372.35516666668,67590.49478666663,66184.21032416666,66999.94614,65654.51774999997,67291.66429166668,65122.881559999994,69127.45061999999,66360.81791666667,64193.409375000025,67920.84775666663,67265.91666666679,64543.590500000006,61134.916666666795,66146.35023666667,67586.66666666677
65208.076294166676,65967.79116666668,65237.02082666672,65389.07536666669,64614.50416000001,65922.85113166671,65266.99005166665,63984.175906666715,67086.24699999999,65887.79257666664,67821.70054166668,66801.461055,67468.42474666664,64540.66666666681,68372.35516666668,67590.49478666663,66184.21032416666,66999.94614,65654.51774999997,67291.66429166668,64958.66666666681,69127.45061999999,66360.81791666667,64193.409375000025,67920.84775666663,67265.91666666679,64543.590500000006,61134.916666666795,66146.35023666667,65885.1338666667
