Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28,Test 29,Test 30,Test 31,Test 32,Test 33,Test 34,Test 35,Test 36,Test 37,Test 38,Test 39,Test 40,Test 41,Test 42,Test 43,Test 44,Test 45,Test 46,Test 47,Test 48,Test 49,Test 50
83526.152,82078.14672916666,75508.07641666666,88064.50924999999,82357.79687500001,82175.02399999996,99836.84000000001,80387.28016666662,111163.21154166666,103965.18437499997,90473.97599999994,79936.12375000003,76682.62275000002,82322.16666666663,88562.68241666669,81397.7115,82792.35899999998,87016.85104166668,75393.96933333333,84202.29874999999,82526.03949999998,106584.58966666671,85801.37254166667,88993.55410416669,77617.93691666667,90733.76072916664,99365.45937500002,112491.71404166667,85773.09166666666,78480.19366666669,111922.8461666667,80272.31866666666,95100.64799999993,78131.14466666669,74781.35897916669,85339.03199999996,98291.16666666651,90317.10235416667,96348.12799999997,84041.70004166671,115745.0033541667,74646.98833333343,102681.73916666667,70500.53991666666,80207.60833333335,112087.95200000003,84772.2676666667,86048.01925000001,87734.95399999995,82573.46800000001
75890.28766666666,78113.84919500002,74405.26779166664,88064.50924999999,80926.51778666665,82175.02399999996,87817.61666666673,80065.92709333332,81479.5114166666,80348.66066666666,73570.16598666665,75670.05066666668,76682.62275000002,73601.66666666672,85078.67466666664,81397.7115,82792.35899999998,75219.31804666667,75393.96933333333,80423.35766666674,81086.85299999997,88546.52191666665,77135.23336,88993.55410416669,77617.93691666667,76900.57402916666,89147.89541666665,90047.97159666668,78026.56809000002,78480.19366666669,84382.11973166662,80272.31866666666,78214.06677333332,78131.14466666669,74781.35897916669,85339.03199999996,76099.691495,83909.2321466667,77561.3016066667,81455.08541666667,83266.0024191667,74073.16666666672,91066.86979166664,70500.53991666666,79780.60579999999,80985.86617166662,84772.2676666667,69936.67046666663,83301.66229000004,78726.52862333332
75745.56616666664,74946.89306333335,70894.34834666667,84580.82677666665,80858.35342499998,82175.02399999996,72614.11666666665,80065.92709333332,70774.4901666667,75008.08850000003,73570.16598666665,75429.51292749999,72497.55330666664,71057.33091666664,85078.67466666664,77450.12874666663,82792.35899999998,68221.04496666665,75393.96933333333,75210.00166666665,76727.59054166668,72662.67004166669,75065.29791666663,69466.41666666676,73661.72564000003,73234.71291333337,88312.49522916661,88482.99277000006,77339.76962666662,77502.51879166665,76904.18400000002,75368.38121666666,72243.51466666668,70556.38291666665,73476.57216,78986.76997166668,76099.691495,80185.62533,77561.3016066667,72700.44966666668,80957.40072999998,74073.16666666672,77602.81279166667,70500.53991666666,70158.24516666672,80985.86617166662,72125.52244666668,69936.67046666663,80721.43731000001,72148.84238500001
69278.05062666665,72882.07613333334,70894.34834666667,69623.31741333334,74870.57129166664,74081.35829166663,72614.11666666665,73798.37491666664,70774.4901666667,75008.08850000003,69567.66728666665,75429.51292749999,71001.4972616667,64154.08143666665,75091.34733999998,77450.12874666663,72860.25558666665,68221.04496666665,75393.96933333333,73649.63867416666,76727.59054166668,72662.67004166669,75065.29791666663,69466.41666666676,73661.72564000003,73234.71291333337,79812.95764000002,71243.57695999999,76619.93411499997,74843.36372916667,76904.18400000002,74562.32936,72243.51466666668,70556.38291666665,67299.67029166668,73028.20680249998,73347.06160416665,74182.1547466667,73417.01191666667,72700.44966666668,74520.85766666665,72183.16666666672,74407.98208,70500.53991666666,70158.24516666672,74227.85612666665,72125.52244666668,69936.67046666663,76413.13001999998,71984.11010000002
69278.05062666665,69387.5835416667,69923.53266666667,68151.28009916669,71654.66666666674,74081.35829166663,72614.11666666665,72399.27676666668,70774.4901666667,71504.19546666667,67447.66666666677,72901.0402566667,70459.31227,64154.08143666665,75091.34733999998,77450.12874666663,71745.9068966667,68221.04496666665,73069.08623666667,72153.01355666664,72057.64477666665,72585.11641666669,73302.76117416663,67153.16666666679,69279.44483166668,73234.71291333337,75089.56285416671,70567.8379791667,71559.65413999996,69323.60626666667,74987.77816666667,72263.15066666668,72243.51466666668,70556.38291666665,67299.67029166668,70039.75695916665,73347.06160416665,73181.77226999999,73417.01191666667,71291.22397916667,71897.52448,68044.30930250004,72927.4284791667,69965.22254666663,70158.24516666672,73083.32891666668,72125.52244666668,67520.24455749996,75185.24696,71984.11010000002
69159.93579166665,69387.5835416667,69923.53266666667,68151.28009916669,69790.26227249998,74081.35829166663,70636.89730666668,72399.27676666668,70774.4901666667,71504.19546666667,67447.66666666677,72901.0402566667,68086.16666666677,64154.08143666665,74167.80691666664,77450.12874666663,70719.16122666663,68221.04496666665,73069.08623666667,70534.66666666674,70100.86750000004,72585.11641666669,69723.22516666663,67153.16666666679,69279.44483166668,72606.93782500004,71691.66154166663,70567.8379791667,70839.96954166667,68770.89654166666,74987.77816666667,72263.15066666668,72243.51466666668,70556.38291666665,67299.67029166668,70039.75695916665,73347.06160416665,73181.77226999999,71523.95597916667,71291.22397916667,69791.49067416666,68044.30930250004,72527.18029166668,69965.22254666663,70158.24516666672,73083.32891666668,67934.41666666677,67520.24455749996,72435.04586666667,68382.02735416667
69159.93579166665,68914.51128666669,68833.70491666667,68151.28009916669,69790.26227249998,70577.66029166666,67955.21074000001,69929.23841666666,70774.4901666667,70064.09583333331,67115.14314499998,72033.0974275,66239.63882666666,64154.08143666665,70687.2135,75682.209375,70719.16122666663,65984.97522666668,72358.78794666666,70169.49307666665,70100.86750000004,69461.78116666664,69135.41172916668,67153.16666666679,67858.49297916667,70666.29217333332,69400.4217825,70567.8379791667,69178.60566666667,68770.89654166666,70758.23189000001,72263.15066666668,71944.36503666664,70556.38291666665,67299.67029166668,70039.75695916665,73093.22726666667,72059.60104166667,71523.95597916667,71291.22397916667,69791.49067416666,68044.30930250004,65653.04516666669,68921.24284416666,73209.11962499999,70851.45051999998,67934.41666666677,66734.3109375,72435.04586666667,68382.02735416667
69016.91666666676,68914.51128666669,68815.66816666666,68151.28009916669,69790.26227249998,69728.92116666667,66209.74627,69929.23841666666,70774.4901666667,70064.09583333331,67066.12157999996,72033.0974275,66239.63882666666,69177.31753333332,70687.2135,73908.39999999994,70719.16122666663,65984.97522666668,72358.78794666666,69308.43477666663,70100.86750000004,69461.78116666664,68921.11144333333,67153.16666666679,67858.49297916667,70666.29217333332,69400.4217825,69453.62649000002,69178.60566666667,66950.91666666679,69303.65041666666,69280.06867250003,71436.2125,70556.38291666665,70435.52547916671,69568.6203541667,71434.07529166668,72059.60104166667,68562.73009416665,71173.71666666669,69791.49067416666,68044.30930250004,65653.04516666669,68230.14318666665,73209.11962499999,69022.18435416667,67934.41666666677,62984.11762999999,70816.12222916669,68382.02735416667
67725.95530666668,68914.51128666669,68815.66816666666,68151.28009916669,67001.98281666666,68903.2246041667,66209.74627,68910.37235333333,70774.4901666667,70064.09583333331,67066.12157999996,68674.68651999999,66239.63882666666,68548.10066666668,69430.20929166664,69646.93710666665,69639.8454166667,65984.97522666668,68883.01698000001,69150.32179166666,70100.86750000004,69461.78116666664,68921.11144333333,67153.16666666679,67858.49297916667,70666.29217333332,68013.77329166666,69453.62649000002,69178.60566666667,65889.53100666664,69303.65041666666,69280.06867250003,66990.86390666665,66743.82460416669,70435.52547916671,69568.6203541667,71434.07529166668,68752.9361041667,68562.73009416665,69016.03529166663,69791.49067416666,68044.30930250004,65653.04516666669,68230.14318666665,72131.33036000002,69022.18435416667,67934.41666666677,62984.11762999999,70816.12222916669,68382.02735416667
65428.21874,68813.56750000003,68305.25094999999,69623.31741333334,67001.98281666666,67944.37085750002,66209.74627,68719.38541666667,68949.75766666664,68915.85942000001,67066.12157999996,68674.68651999999,66239.63882666666,68548.10066666668,68937.1460416667,69562.49160416667,69142.33951999998,65984.97522666668,68883.01698000001,68656.52916916666,70100.86750000004,69461.78116666664,68921.11144333333,67153.16666666679,67858.49297916667,68395.74791666667,68013.77329166666,69453.62649000002,69178.60566666667,65889.53100666664,66162.79070666667,68377.00779333331,66708.22363666662,66743.82460416669,67234.91666666679,69568.6203541667,69796.36710416667,68752.9361041667,68562.73009416665,68504.32162666666,66095.66124666668,65289.68066666667,65653.04516666669,68230.14318666665,67911.2871875,66264.90218666669,67652.91666666677,62984.11762999999,70816.12222916669,68382.02735416667
