Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28,Test 29,Test 30,Test 31,Test 32,Test 33,Test 34,Test 35,Test 36,Test 37,Test 38,Test 39,Test 40,Test 41,Test 42,Test 43,Test 44,Test 45,Test 46,Test 47,Test 48,Test 49,Test 50
96307.70624999994,78860.70312500001,103370.53600000008,77243.7442916666,81765.03933333332,93449.41666666656,94323.06666666674,122540.03124999996,100187.40816666663,85164.28849999998,83567.49166666665,97670.472,121576.3343333333,112651.41666666644,77801.42141666668,84205.15833333331,98808.02258333334,97656.498,109145.67116666661,102107.3601666667,95087.4458333333,88983.85410416665,120209.16666666641,98203.45104166667,107992.07654166665,92888.46350000001,111766.53704166666,105226.49329166666,109643.59687499999,109908.16666666645,100987.40800000001,89958.38400000003,86772.35166666665,97072.39654166655,98085.55312500003,101173.18516666665,90823.89908333335,98304.38172916662,89995.5324375,82979.44570833334,97729.08166666671,93432.0024166667,92117.54054166659,97724.10804166667,84796.74687500003,124897.1666666664,113130.96666666667,79847.41666666666,73744.45972916664,95262.52866666665
92554.42897916667,78860.70312500001,75226.28158666668,77205.70116666665,81765.03933333332,82166.10399999995,89994.33404166666,93869.39516666668,73700.94649999999,76100.37480000003,83567.49166666665,96930.57000499996,108399.54779166666,112651.41666666644,77801.42141666668,83190.70679166667,89798.32929166664,74607.69879750002,108750.81579166661,74308.32920666665,84820.14791666674,86255.66566666665,93416.20010416668,96954.55616666666,96492.65639999996,76310.47428999997,85279.44292,91741.6922700001,78898.59147916661,101970.51418999999,93055.88762999994,89958.38400000003,73148.069,97072.39654166655,83779.42731000004,93663.08666666667,89410.42083333331,81613.15491666667,86462.94287666668,75480.17391666667,97729.08166666671,91184.53962833334,90511.64794666664,97724.10804166667,79724.08361999995,77652.23548416662,104607.20833333333,78497.04800000001,73744.45972916664,87717.74745499998
71250.55562666667,75316.04155999997,75226.28158666668,77205.70116666665,81765.03933333332,77791.09351416666,82000.07308666669,84323.65595999997,73700.94649999999,68394.4477616666,83394.55937500001,86265.3153541667,94918.62050666663,101864.6779791667,77801.42141666668,78231.52682666662,76694.21272,74607.69879750002,75110.22982,74308.32920666665,80104.11429166672,77840.34395999995,76580.29222916666,74773.4166666667,85522.27295999999,74343.79766916663,85279.44292,77474.8387916666,78577.45179166667,101970.51418999999,78202.90129166668,78021.40766666668,73148.069,84752.42104000003,81367.74879166667,77499.20312500001,81086.21221666667,80556.95792000003,79904.04287000006,75480.17391666667,89600.34379166669,90069.85633333337,86459.28506666668,97724.10804166667,77120.80504166665,77652.23548416662,92883.91897916666,75329.47916666664,72227.45938666667,78298.98516666668
71250.55562666667,75316.04155999997,71856.31850000002,76962.96966666669,81765.03933333332,77791.09351416666,75712.58283999999,75990.37521333333,72428.38466666664,68394.4477616666,80036.51378416669,77150.74967750005,94918.62050666663,92298.51716666663,70934.07114666667,75520.9950416667,76694.21272,74607.69879750002,75110.22982,74058.06266666666,72671.41666666672,72765.234465,74097.04610416669,72033.26004166667,85522.27295999999,74343.79766916663,76627.18655166664,72160.73656000002,71463.73516666668,73745.50291666668,76448.74181750002,74316.1806666667,73148.069,69316.83872916667,79569.42083333328,75290.38941666667,77730.0817491667,73458.34616666667,79904.04287000006,75480.17391666667,77240.52657333329,79045.60625000001,79030.75991666663,87466.5374166666,73322.16666666673,77652.23548416662,79193.58454000004,70774.67912250005,71526.41666666673,76300.44791166665
71250.55562666667,69707.1495416667,71856.31850000002,76588.48466666664,79641.39119333337,77791.09351416666,71346.19054166669,74885.92879166667,68633.1139,68394.4477616666,75745.54441666671,74639.08454166671,94855.091695,92298.51716666663,70934.07114666667,70606.56941666667,74502.35808666669,74607.69879750002,75110.22982,74058.06266666666,72671.41666666672,69623.84941416659,73030.14741666664,72033.26004166667,85522.27295999999,72309.31410666666,76627.18655166664,71972.95835416664,71463.73516666668,69800.02756,73102.56366666665,74316.1806666667,73148.069,69316.83872916667,76320.60891666666,75290.38941666667,74494.34963999999,68639.70299000005,79904.04287000006,71232.00197166666,75998.80173999997,73197.50625000003,77055.76429166664,80951.84747,73322.16666666673,75571.78611666664,79193.58454000004,67783.8248625,70777.86954166669,69443.16666666676
71250.55562666667,69707.1495416667,71856.31850000002,76081.34072916664,74065.58125000002,74506.60691666664,71346.19054166669,72091.96581333331,68633.1139,68394.4477616666,75745.54441666671,71250.73060416666,92187.99216666668,88997.07454166672,70934.07114666667,70606.56941666667,71930.59906666665,71209.97029166666,75110.22982,73103.07516666668,72671.41666666672,69623.84941416659,69953.77857333333,66018.00474333334,85522.27295999999,72309.31410666666,70453.77585416664,71972.95835416664,71463.73516666668,65620.87502666668,73102.56366666665,68800.23775499998,73148.069,69316.83872916667,75757.19672916668,75290.38941666667,74494.34963999999,68639.70299000005,72575.0751066666,71232.00197166666,75998.80173999997,73197.50625000003,69921.1780416667,78428.67560416661,71080.54110416667,75381.84912250002,68300.36241666667,67783.8248625,70777.86954166669,69443.16666666676
70826.45204166668,69707.1495416667,70755.7715,75222.53716666668,74065.58125000002,72297.36154166666,71346.19054166669,72091.96581333331,68633.1139,68394.4477616666,75745.54441666671,71250.73060416666,82588.808,88997.07454166672,67090.1467466667,66700.55141666667,70963.58066666666,67263.91666666679,75104.24379000001,72490.85979166665,72671.41666666672,69623.84941416659,69883.280645,66018.00474333334,77980.6714666666,71056.45522000005,70453.77585416664,71972.95835416664,71463.73516666668,65620.87502666668,70657.82274666667,67377.73810416667,73897.1036233333,69316.83872916667,73496.70937999999,75290.38941666667,74494.34963999999,68639.70299000005,72575.0751066666,69484.66666666676,75998.80173999997,73197.50625000003,69921.1780416667,77771.0431666667,67880.29704333334,73596.88247750001,68300.36241666667,67783.8248625,67360.54175999998,69443.16666666676
70241.0822291667,69707.1495416667,68228.36779166665,73160.08104166666,74065.58125000002,72297.36154166666,71023.13695500002,70501.49729166673,68511.09783916664,68394.4477616666,75745.54441666671,71250.73060416666,80913.15123666667,81137.26991666669,67090.1467466667,66700.55141666667,70963.58066666666,67263.91666666679,69442.98829166665,72490.85979166665,72671.41666666672,69623.84941416659,69883.280645,66018.00474333334,76091.84766666671,71056.45522000005,70453.77585416664,71560.04976000002,69147.12641666668,65620.87502666668,70657.82274666667,67377.73810416667,73151.7242466667,69316.83872916667,68483.09634666672,73223.72130666664,72915.06041666666,68639.70299000005,72455.43655999994,69484.66666666676,75998.80173999997,73197.50625000003,69921.1780416667,66368.68761166665,67880.29704333334,73385.89404166664,68300.36241666667,66463.35058666668,67360.54175999998,69443.16666666676
70241.0822291667,69707.1495416667,68228.36779166665,73160.08104166666,71617.69090666668,67877.34606333333,71023.13695500002,69231.98591666666,68511.09783916664,68394.4477616666,74801.44750666665,71250.73060416666,80544.81966666663,81137.26991666669,67090.1467466667,66700.55141666667,70963.58066666666,67263.91666666679,69442.98829166665,72490.85979166665,73530.87229166666,69623.84941416659,69883.280645,66018.00474333334,74379.71666666663,70409.56106499996,70453.77585416664,68795.89074666664,69147.12641666668,65620.87502666668,67491.82802666666,67377.73810416667,72660.18637999998,69316.83872916667,68483.09634666672,72188.53579166667,72915.06041666666,68639.70299000005,72455.43655999994,69484.66666666676,72777.43591666663,72297.6346666667,67356.99516666667,66368.68761166665,67880.29704333334,72370.27595416665,68300.36241666667,66463.35058666668,67360.54175999998,69443.16666666676
70241.0822291667,69707.1495416667,68228.36779166665,73160.08104166666,71617.69090666668,67877.34606333333,66637.70176000003,69231.98591666666,68511.09783916664,68394.4477616666,74801.44750666665,71250.73060416666,70666.9091666667,81137.26991666669,67090.1467466667,66700.55141666667,70807.11790666667,67263.91666666679,69442.98829166665,72490.85979166665,73530.87229166666,69623.84941416659,69883.280645,66018.00474333334,70801.9874416667,70409.56106499996,70453.77585416664,68795.89074666664,69147.12641666668,65620.87502666668,67491.82802666666,67377.73810416667,72660.18637999998,71946.03372916671,68483.09634666672,72188.53579166667,72915.06041666666,73198.13664833335,70820.36266666667,69484.66666666676,72777.43591666663,71962.67450666666,67356.99516666667,66368.68761166665,67880.29704333334,72370.27595416665,68300.36241666667,66463.35058666668,67360.54175999998,69443.16666666676
