Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28,Test 29,Test 30,Test 31,Test 32,Test 33,Test 34,Test 35,Test 36,Test 37,Test 38,Test 39,Test 40,Test 41,Test 42,Test 43,Test 44,Test 45,Test 46,Test 47,Test 48,Test 49,Test 50
95604.88124999996,89922.06766666665,105657.13797916667,103621.56585416669,94920.4077916666,124648.17216666667,85285.03200000002,117297.12968749998,127230.65000000007,128918.91666666642,89777.47666666663,127154.74770833337,121501.5055,119732.4566666667,77676.74008333332,119057.46666666667,71602.46225,105608.42545833332,150304.87616666665,76872.2078125,124595.11966666684,77197.999125,81734.37858333335,126996.64566666666,104442.87095833333,73517.74750000006,136736.95845833336,96209.23906250007,123805.67016666666,110249.368,81297.66666666664,89019.41666666657,139858.5166666667,88403.66666666658,129140.92000000001,101116.18324999999,111442.36066666663,88253.9568541667,120286.6027291666,89116.93333333335,100671.408,86370.23281249999,113198.28333333335,127448.17266666668,100726.5246041667,72923.21254166667,94089.44666666666,128139.78466666669,108519.38360416667,128270.71200000004
89338.04704,76194.7226666667,100343.96054666664,103621.56585416669,83542.36300666671,83143.17717666664,79572.36248416663,94769.5812916667,112940.56904166663,76411.96048666666,79526.63304000003,127154.74770833337,121501.5055,110203.57141666667,77676.74008333332,86016.27480000003,71602.46225,82588.12916666667,133037.94945666665,76872.2078125,111840.34791666664,77197.999125,81734.37858333335,126088.76249999992,82618.11204166668,73517.74750000006,112552.50416666668,95225.07500000007,114047.44005416664,95421.01600000005,81297.66666666664,89019.41666666657,113038.44815999999,84668.89460000001,111471.43029,101116.18324999999,98847.95634666669,88253.9568541667,76875.49166666664,89116.93333333335,100671.408,75969.71657499998,108986.18085416673,115524.67794,87823.76625000002,72923.21254166667,94089.44666666666,128139.78466666669,95913.1671875,102833.69583333338
84172.57129166667,75605.16666666667,87026.2099791667,76373.17347916671,82868.03847916663,81167.59629166668,77779.04800000005,84857.69858666665,99368.70260666667,76411.96048666666,74990.08206166669,127154.74770833337,93384.83144,107535.66666666647,75833.24316666665,77644.31635750007,71432.80715250001,82588.12916666667,93068.7277916667,76872.2078125,105714.73227666672,77197.999125,81734.37858333335,113672.85650000002,82618.11204166668,73517.74750000006,111232.17866666664,83246.41666666663,112644.26329166669,95421.01600000005,76953.38972916665,89019.41666666657,110039.08742000001,84668.89460000001,75505.51450666666,101116.18324999999,92788.84928000007,82985.5320416667,76875.49166666664,85657.16112916668,100671.408,75286.75627750003,92254.65341666665,90376.83960416664,87823.76625000002,72923.21254166667,89400.50479166664,107140.56366666673,81229.01241666666,80264.11438666668
76467.27330666664,75318.57254000004,76820.08700000006,76373.17347916671,82868.03847916663,72717.42672916669,77779.04800000005,70967.44865166668,99368.70260666667,73408.56552166666,74990.08206166669,115394.71857500005,93384.83144,107535.66666666647,75719.22043416662,75746.62874666664,71010.07860416664,80614.29316666663,93068.7277916667,71321.6155833333,99997.51041666666,75945.06597916667,80620.35458666668,113672.85650000002,75397.05584833332,72010.48166666669,106846.41841666665,82036.09429416667,108558.29241666666,70852.08806666669,75028.82858666663,86944.90041666667,104920.1097,82068.96170666671,75505.51450666666,76973.29466666667,92788.84928000007,76277.60129166672,76875.49166666664,79020.20064833338,100671.408,73461.91666666672,91726.3635416667,90376.83960416664,75856.64841666666,72923.21254166667,82691.66666666664,107140.56366666673,73741.41091666665,79415.81818666667
76467.27330666664,75318.57254000004,76820.08700000006,76373.17347916671,81798.11981999998,72717.42672916669,75349.33672916668,70967.44865166668,99368.70260666667,73408.56552166666,74990.08206166669,112705.41666666645,93384.83144,105368.19604166664,75719.22043416662,75746.62874666664,71010.07860416664,78406.62083333333,93068.7277916667,71321.6155833333,98144.8299133334,75945.06597916667,74982.92602666664,111396.20887000002,75397.05584833332,72010.48166666669,100288.47291666672,81152.54691666666,99481.47966666671,70852.08806666669,75028.82858666663,82875.12823499998,104920.1097,82068.96170666671,75505.51450666666,70524.83373333336,79507.63882500002,76277.60129166672,76875.49166666664,70418.58373916672,100671.408,73017.25141666665,76568.68852000001,90376.83960416664,75856.64841666666,72923.21254166667,76879.13118000003,107140.56366666673,73741.41091666665,79415.81818666667
74671.15441666667,75318.57254000004,76820.08700000006,73896.25029000001,81321.70818666666,72717.42672916669,74054.11416666668,70967.44865166668,99368.70260666667,73408.56552166666,67984.41666666677,108158.66399999996,93384.83144,101190.83691666668,73181.89550000001,75746.62874666664,71010.07860416664,73908.49054166666,75579.1666666667,71321.6155833333,97099.09897916668,74331.65872916667,73950.94127499998,111396.20887000002,75397.05584833332,72010.48166666669,92768.21291666664,71128.19816666664,99481.47966666671,69295.71571666667,74113.43972916665,78685.32396500003,95740.1731666667,82068.96170666671,71102.90335416664,70524.83373333336,71280.69141666665,76233.7635416667,73969.41096416667,70418.58373916672,100671.408,72777.54877750002,76568.68852000001,79079.15616666664,75856.64841666666,71099.34804166669,76879.13118000003,107140.56366666673,71751.91941666667,77151.96079166669
73573.72829166667,75318.57254000004,74554.88939666667,70861.64891666669,75759.69816666665,72717.42672916669,72336.59307999999,70967.44865166668,92129.3846666667,73408.56552166666,67984.41666666677,108158.66399999996,92792.15569333333,101190.83691666668,73159.96928,74967.53191666666,66448.54392000003,73908.49054166666,75579.1666666667,71321.6155833333,92878.97047916672,71903.11498666664,73950.94127499998,111396.20887000002,75397.05584833332,67786.39480666665,92768.21291666664,69098.66666666676,99481.47966666671,69087.49466666664,74113.43972916665,78685.32396500003,95740.1731666667,82068.96170666671,71102.90335416664,70524.83373333336,71280.69141666665,71910.31854166667,73969.41096416667,70418.58373916672,100671.408,72777.54877750002,76568.68852000001,73101.08779166666,74640.72629166668,71099.34804166669,76879.13118000003,91236.20416666672,71751.91941666667,77151.96079166669
73573.72829166667,75318.57254000004,74554.88939666667,70861.64891666669,74987.55541666666,68930.18116666665,72336.59307999999,70967.44865166668,92129.3846666667,71970.74079166664,67984.41666666677,108158.66399999996,92792.15569333333,99937.16666666651,73118.77363916665,70923.7734241667,66448.54392000003,71016.62083333333,73217.26016749999,71321.6155833333,92878.97047916672,71903.11498666664,73950.94127499998,111396.20887000002,75397.05584833332,67786.39480666665,92768.21291666664,69098.66666666676,97506.97322916669,69087.49466666664,73154.51596666664,78685.32396500003,95740.1731666667,82068.96170666671,70851.56041666662,69316.5419791667,69870.96091666665,71910.31854166667,73969.41096416667,70418.58373916672,98006.18755999998,72777.54877750002,75315.54718,73101.08779166666,71998.25403333332,71099.34804166669,76879.13118000003,91236.20416666672,71202.96541666666,77151.96079166669
73573.72829166667,75318.57254000004,74554.88939666667,70861.64891666669,71622.59780916669,68930.18116666665,72336.59307999999,70967.44865166668,92129.3846666667,71970.74079166664,67984.41666666677,108158.66399999996,92792.15569333333,99189.68841666669,71802.83974666666,70923.7734241667,66448.54392000003,71016.62083333333,73217.26016749999,73735.59583333334,92878.97047916672,71903.11498666664,73950.94127499998,105910.75866666662,73659.68244916665,67786.39480666665,92768.21291666664,69098.66666666676,97506.97322916669,69087.49466666664,73154.51596666664,78685.32396500003,95644.70654166664,77426.88954166668,70851.56041666662,69316.5419791667,69870.96091666665,71910.31854166667,73969.41096416667,70418.58373916672,98006.18755999998,70237.84178666667,75315.54718,72761.8226666667,71998.25403333332,71099.34804166669,73443.93504166669,81616.39663833333,71202.96541666666,74742.21766666665
73573.72829166667,75318.57254000004,74554.88939666667,70861.64891666669,65230.91666666681,68930.18116666665,72336.59307999999,70967.44865166668,92129.3846666667,71970.74079166664,67984.41666666677,108158.66399999996,92792.15569333333,89821.62744833334,70930.064,70923.7734241667,66448.54392000003,71016.62083333333,71393.45222916667,73735.59583333334,92878.97047916672,71903.11498666664,73950.94127499998,105910.75866666662,73659.68244916665,67786.39480666665,92768.21291666664,69098.66666666676,97506.97322916669,69087.49466666664,73154.51596666664,77732.52079166664,90437.37098,77355.05760416665,70851.56041666662,68560.66666666676,69870.96091666665,71910.31854166667,76024.89117666664,70418.58373916672,93108.01600000006,70237.84178666667,71812.62241666665,72761.8226666667,71998.25403333332,71099.34804166669,73443.93504166669,81616.39663833333,71202.96541666666,74742.21766666665
